"Year","matmort","neomort","under5mort","infantmort","ISO"
2000,NA,NA,NA,NA,"ABW"
2001,NA,NA,NA,NA,"ABW"
2002,NA,NA,NA,NA,"ABW"
2003,NA,NA,NA,NA,"ABW"
2004,NA,NA,NA,NA,"ABW"
2005,NA,NA,NA,NA,"ABW"
2006,NA,NA,NA,NA,"ABW"
2007,NA,NA,NA,NA,"ABW"
2008,NA,NA,NA,NA,"ABW"
2009,NA,NA,NA,NA,"ABW"
2010,NA,NA,NA,NA,"ABW"
2011,NA,NA,NA,NA,"ABW"
2012,NA,NA,NA,NA,"ABW"
2013,NA,NA,NA,NA,"ABW"
2014,NA,NA,NA,NA,"ABW"
2015,NA,NA,NA,NA,"ABW"
2016,NA,NA,NA,NA,"ABW"
2017,NA,NA,NA,NA,"ABW"
2018,NA,NA,NA,NA,"ABW"
2019,NA,NA,NA,NA,"ABW"
2000,777,37.67115207,137.5449914,85.55713132,NA
2001,751,36.86857678,132.1296314,82.53188388,NA
2002,732,36.03043776,126.4633285,79.36310008,NA
2003,710,35.1846309,120.8348265,76.24338583,NA
2004,680,34.32607447,115.4043538,73.22076952,NA
2005,643,33.50210187,110.1448593,70.28120223,NA
2006,608,32.74777947,105.2067126,67.58222948,NA
2007,577,31.97290805,100.2209939,64.90957431,NA
2008,551,31.262069,95.33053644,62.38313267,NA
2009,526,30.56522362,90.5094233,59.98633496,NA
2010,501,29.88193945,86.11572214,57.79580247,NA
2011,480,29.22051347,82.05748353,55.67965817,NA
2012,462,28.57428522,78.25007097,53.73743013,NA
2013,446,27.95688633,74.81667325,52.00407493,NA
2014,433,27.348936,71.79495789,50.41558946,NA
2015,419,26.7837127,69.13815746,48.95864126,NA
2016,408,26.22490573,66.51592775,47.52724371,NA
2017,398,25.69128825,64.24399372,46.1081401,NA
2018,NA,25.13165636,62.07293632,44.79522074,NA
2019,NA,24.5979354,60.05415038,43.59125166,NA
2000,1450,60.9,129.2,90.5,"AFG"
2001,1390,59.7,125.2,87.9,"AFG"
2002,1300,58.5,121.1,85.3,"AFG"
2003,1240,57.2,116.9,82.7,"AFG"
2004,1180,55.9,112.6,80,"AFG"
2005,1140,54.6,108.4,77.3,"AFG"
2006,1120,53.2,104.1,74.6,"AFG"
2007,1090,51.7,99.9,71.9,"AFG"
2008,1030,50.3,95.7,69.2,"AFG"
2009,993,48.9,91.7,66.7,"AFG"
2010,954,47.4,87.8,64.2,"AFG"
2011,905,46,84,61.8,"AFG"
2012,858,44.6,80.3,59.5,"AFG"
2013,810,43.2,76.9,57.3,"AFG"
2014,786,41.9,73.6,55.2,"AFG"
2015,701,40.5,70.4,53.2,"AFG"
2016,673,39.3,67.5,51.3,"AFG"
2017,638,38.2,64.8,49.5,"AFG"
2018,NA,37.2,62.3,47.9,"AFG"
2019,NA,36.1,60.1,46.4,"AFG"
2000,1000,43.95216135,169.4711147,99.16617376,NA
2001,987,42.90921397,164.3553376,96.5793404,NA
2002,973,41.84866308,158.9838056,93.92350562,NA
2003,954,40.86544028,153.6297794,91.2442253,NA
2004,924,39.90788885,148.2783528,88.57660878,NA
2005,890,39.00919165,143.1011193,86.0171123,NA
2006,858,38.21358493,138.1644716,83.53945121,NA
2007,834,37.51933436,133.4750447,81.17597055,NA
2008,821,36.88893011,129.1176461,79.00153677,NA
2009,810,36.26164215,125.0638226,77.02490628,NA
2010,798,35.69794091,121.38325,75.16024311,NA
2011,789,35.19385313,118.0393257,73.5080295,NA
2012,778,34.74189555,114.9971079,71.96530018,NA
2013,767,34.35797657,112.1911899,70.55418322,NA
2014,758,33.95211279,109.6962866,69.24899712,NA
2015,744,33.57905619,107.2916927,68.00160289,NA
2016,729,33.16771618,104.637694,66.67483055,NA
2017,717,32.72579699,102.0320864,65.31384172,NA
2018,NA,32.21974168,99.29113974,63.87577856,NA
2019,NA,31.73890801,96.49428924,62.35233279,NA
2000,827,50.3,204.4,121.5,"AGO"
2001,766,49.2,198.4,118.2,"AGO"
2002,690,48,191.5,114.5,"AGO"
2003,628,46.5,183.8,110.4,"AGO"
2004,574,45.1,175.1,105.7,"AGO"
2005,519,43.5,166.1,100.9,"AGO"
2006,473,42,156.4,95.7,"AGO"
2007,431,40.5,147,90.6,"AGO"
2008,395,39,137.7,85.5,"AGO"
2009,359,37.7,128.7,80.6,"AGO"
2010,326,36.3,120.4,75.9,"AGO"
2011,300,35.1,112.5,71.5,"AGO"
2012,281,33.8,105.1,67.4,"AGO"
2013,269,32.7,98.5,63.7,"AGO"
2014,258,31.7,92.9,60.5,"AGO"
2015,251,30.8,88.1,57.7,"AGO"
2016,246,30,84.1,55.5,"AGO"
2017,241,29.2,80.6,53.5,"AGO"
2018,NA,28.6,77.3,51.7,"AGO"
2019,NA,27.9,74.2,49.9,"AGO"
2000,23,12.1,27.2,24.1,"ALB"
2001,23,11.8,25.8,22.9,"ALB"
2002,21,11.4,24.4,21.7,"ALB"
2003,21,11.1,23,20.4,"ALB"
2004,18,10.9,21.5,19.1,"ALB"
2005,22,10.6,20,17.8,"ALB"
2006,18,10,18.5,16.6,"ALB"
2007,19,9.2,17.1,15.3,"ALB"
2008,20,8.3,15.8,14.1,"ALB"
2009,20,7.4,14.5,12.9,"ALB"
2010,21,6.7,13.3,11.8,"ALB"
2011,22,6.2,12.1,10.8,"ALB"
2012,17,6,11.2,10,"ALB"
2013,16,5.9,10.4,9.3,"ALB"
2014,16,5.9,9.9,8.8,"ALB"
2015,15,6,9.6,8.5,"ALB"
2016,16,6.3,9.4,8.4,"ALB"
2017,15,6.7,9.4,8.4,"ALB"
2018,NA,7.1,9.5,8.5,"ALB"
2019,NA,7.5,9.7,8.6,"ALB"
2000,NA,3.8,8.2,7.3,"AND"
2001,NA,3.6,7.7,6.9,"AND"
